ticker,previous_description,corrected_description,issue_category,reason,confidence
GSLC,The fund tracks the performance of Goldman Sachs ActiveBeta U.S. Large Cap Equity. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.,The fund tracks the performance of Goldman Sachs ActiveBeta U.S. Large Cap Equity.,Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
GUSE,The fund tracks the performance of Goldman Sachs Enhanced U.S. Equity. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.,The fund tracks the performance of Goldman Sachs Enhanced U.S. Equity.,Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
JUST,The fund tracks the performance of Goldman Sachs JUST U.S. Large Cap Equity. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.,The fund tracks the performance of Goldman Sachs JUST U.S. Large Cap Equity.,Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
GSEW,The fund tracks the performance of Goldman Sachs Equal Weight U.S. Large Cap Equity. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.,The fund tracks the performance of Goldman Sachs Equal Weight U.S. Large Cap Equity.,Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
GVLE,The fund tracks the performance of Goldman Sachs Value Opportunities. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.,The fund tracks the performance of Goldman Sachs Value Opportunities.,Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
GSGO,The fund tracks the performance of Goldman Sachs Growth Opportunities. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.,The fund tracks the performance of Goldman Sachs Growth Opportunities.,Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
GTOP,The fund tracks the performance of Goldman Sachs Technology Opportunities. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.,The fund tracks the performance of Goldman Sachs Technology Opportunities.,Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
GSEU,The fund tracks the performance of Goldman Sachs ActiveBeta Europe Equity. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.,The fund tracks the performance of Goldman Sachs ActiveBeta Europe Equity.,Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
GSIE,The fund tracks the performance of Goldman Sachs ActiveBeta International Equity. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.,The fund tracks the performance of Goldman Sachs ActiveBeta International Equity.,Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
GVIP,The fund tracks the performance of Goldman Sachs Hedge Industry VIP. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.,The fund tracks the performance of Goldman Sachs Hedge Industry VIP.,Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
GTIP,"The fund tracks the performance of Goldman Sachs Access Inflation Protected USD Bond. The product physically holds bullion in a secure vault rather than investing in shares of mining companies. The underlying portfolio consists of fixed-income debt securities, making market value highly sensitive to interest rates and credit risk.","The fund tracks the performance of Goldman Sachs Access Inflation Protected USD Bond. The underlying portfolio consists of fixed-income debt securities, making market value highly sensitive to interest rates and credit risk.",Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
GHYB,"The fund tracks the performance of Goldman Sachs Access High Yield Corporate Bond. The product physically holds bullion in a secure vault rather than investing in shares of mining companies. The underlying portfolio consists of fixed-income debt securities, making market value highly sensitive to interest rates and credit risk.","The fund tracks the performance of Goldman Sachs Access High Yield Corporate Bond. The underlying portfolio consists of fixed-income debt securities, making market value highly sensitive to interest rates and credit risk.",Physical-asset mismatch,Falsely described as physically holding bullion (matched 'Gold' inside 'Goldman'); this is an equity/bond fund with no gold or bullion exposure.,High
GOEX,The fund tracks the performance of Gold Explorers. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.,The fund tracks the performance of Gold Explorers. The portfolio owns publicly traded equity shares of mining companies rather than physical metal.,Physical-asset mismatch,"Falsely described as physically holding bullion; GOEX is an equity fund holding gold-mining/exploration company shares, not physical gold.",High
DZZ,"The fund seeks daily inverse (short) investment results before fees and expenses, tracking DB Gold Double Short ETN due February 15, 2038. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple. As an exchange-traded note, the product is an unsecured debt obligation of the issuer and carries issuer credit risk. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.","The fund seeks daily 2x inverse (short) investment results before fees and expenses, tracking DB Gold Double Short ETN due February 15, 2038. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple. As an exchange-traded note, the product is an unsecured debt obligation of the issuer and carries issuer credit risk.",Physical-asset mismatch,Falsely described as physically holding bullion in addition to being an unsecured-debt ETN; the two claims are contradictory. DZZ is an ETN with no physical bullion backing.,High
DGZ,"The fund seeks daily inverse (short) investment results before fees and expenses, tracking DB Gold Short ETN due February 15, 2038. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple. As an exchange-traded note, the product is an unsecured debt obligation of the issuer and carries issuer credit risk. The product physically holds bullion in a secure vault rather than investing in shares of mining companies.","The fund seeks daily inverse (short) investment results before fees and expenses, tracking DB Gold Short ETN due February 15, 2038. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple. As an exchange-traded note, the product is an unsecured debt obligation of the issuer and carries issuer credit risk.",Physical-asset mismatch,Falsely described as physically holding bullion in addition to being an unsecured-debt ETN; the two claims are contradictory. DGZ is an ETN with no physical bullion backing.,High
GUSH,"The fund seeks daily 2x leveraged investment results before fees and expenses, tracking S&P Oil & Gas Exp. & Prod. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.","The fund seeks daily 2x leveraged investment results before fees and expenses, tracking S&P Oil & Gas Exp. & Prod. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple.",Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
DIG,"The fund seeks daily 2x leveraged investment results before fees and expenses, tracking Energy. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.","The fund seeks daily 2x leveraged investment results before fees and expenses, tracking Energy. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple.",Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
ERX,"The fund seeks daily 2x leveraged investment results before fees and expenses, tracking Direxion Energy. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.","The fund seeks daily 2x leveraged investment results before fees and expenses, tracking Direxion Energy. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple.",Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
FCG,"The fund tracks the performance of Natural Gas. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of Natural Gas.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
PXE,"The fund tracks the performance of Energy Exploration & Production. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of Energy Exploration & Production.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
IEO,"The fund tracks the performance of U.S. Oil & Gas Exploration & Production. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of U.S. Oil & Gas Exploration & Production.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
PXI,"The fund tracks the performance of Dorsey Wright Energy Momentum. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of Dorsey Wright Energy Momentum.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
FTXN,"The fund tracks the performance of Nasdaq Oil & Gas. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of Nasdaq Oil & Gas.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
XOP,"The fund tracks the performance of State Street S&P Oil & Gas Exploration & Production. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of State Street S&P Oil & Gas Exploration & Production.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
PSCE,"The fund tracks the performance of S&P SmallCap Energy. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of S&P SmallCap Energy.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
RSPG,"The fund tracks the performance of S&P 500 Equal Weight Energy. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of S&P 500 Equal Weight Energy.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
VDE,"The fund tracks the performance of Energy. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of Energy.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
FENY,"The fund tracks the performance of Fidelity MSCI Energy. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of Fidelity MSCI Energy.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
IYE,"The fund tracks the performance of U.S. Energy. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of U.S. Energy.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
FXN,"The fund tracks the performance of Energy AlphaDEX. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of Energy AlphaDEX.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
IXC,"The fund tracks the performance of Global Energy. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of Global Energy.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
CSEN,"The fund tracks the performance of Cohen & Steers Future of Energy Active. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of Cohen & Steers Future of Energy Active.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
MLPX,"The fund tracks the performance of MLP & Energy Infrastructure. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of MLP & Energy Infrastructure.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
ENFR,"The fund tracks the performance of Alerian Energy Infrastructure. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of Alerian Energy Infrastructure.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
EINC,"The fund tracks the performance of VanEck Energy Income. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of VanEck Energy Income.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
USAI,"The fund tracks the performance of Pacer American Energy Infrastructure. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of Pacer American Energy Infrastructure.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
SPXE,"The fund tracks the performance of S&P 500 Ex-Energy. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of S&P 500 Ex-Energy.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
TNGY,"The fund tracks the performance of Tortoise Energy. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of Tortoise Energy.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
EMLP,"The fund tracks the performance of North American Energy Infrastructure. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of North American Energy Infrastructure.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
OIH,"The fund tracks the performance of VanEck Oil Services. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of VanEck Oil Services.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
FTAG,"The fund tracks the performance of Indxx Global Agriculture. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of Indxx Global Agriculture.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
IEZ,"The fund tracks the performance of U.S. Oil Equipment & Services. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of U.S. Oil Equipment & Services.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
XES,"The fund tracks the performance of State Street S&P Oil & Gas Equipment & Services. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of State Street S&P Oil & Gas Equipment & Services.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
PXJ,"The fund tracks the performance of Oil & Gas Services. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of Oil & Gas Services.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
CRAK,"The fund tracks the performance of VanEck Oil Refiners. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",The fund tracks the performance of VanEck Oil Refiners.,Futures/equity mismatch,Falsely described as obtaining exposure through commodity futures (industry-word match on Energy/Oil/Gas); this is an equity fund that owns shares of the underlying companies.,High
XLE,"The fund tracks the performance of State Street Energy Select Sector. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.","The fund tracks the performance of State Street Energy Select Sector. The portfolio owns shares of energy-sector companies and does not obtain exposure through commodity futures.",Futures/equity mismatch,"Falsely described as obtaining exposure through commodity futures; XLE owns shares of energy-sector companies (equity fund), not futures contracts.",High
REMX,The product tracks the single company stock of Meta.,The fund tracks the performance of Rare Earth and Strategic Metals.,Structure/template error,"Falsely described as tracking the single-company stock of Meta (substring match on 'Metals'); REMX is a diversified equity fund holding rare-earth and strategic-metals companies, unrelated to Meta Platforms.",High
XME,The product tracks the single company stock of Meta.,The fund tracks the performance of State Street S&P Metals & Mining.,Structure/template error,"Falsely described as tracking the single-company stock of Meta (substring match on 'Metals'); XME is a diversified equity fund holding metals & mining companies, unrelated to Meta Platforms.",High
PICK,The product tracks the single company stock of Meta.,"The fund tracks the performance of MSCI Global Select Metals & Mining Producers. The portfolio owns publicly traded equity shares of mining companies rather than physical metal.",Structure/template error,"Falsely described as tracking the single-company stock of Meta (substring match on 'Metals'); PICK is a diversified equity fund holding metals & mining producer companies, unrelated to Meta Platforms.",High
DBB,"The product tracks the single company stock of Meta. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.","The fund tracks the performance of DB Base Metals. Exposure is obtained through futures contracts rather than physical holdings; therefore, contract rolls cause performance to differ from the spot commodity price.",Structure/template error,"Falsely described as tracking the single-company stock of Meta (substring match on 'Metals'); DBB is a genuine futures-based base-metals commodity fund, not a single-stock product.",High
GBTC,The product tracks the single company stock of coin.,"The fund tracks the performance of Bitcoin. The product is a grantor trust that holds bitcoin directly rather than shares of a company or futures contracts.",Structure/template error,"Falsely described as tracking the single-company stock of 'coin' (substring match on 'Bitcoin'); GBTC is a digital-asset trust holding bitcoin directly, not a company stock.",High
TQQQ,"The fund seeks daily 2x leveraged investment results before fees and expenses, tracking Pro QQQ. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple.","The fund seeks three times (3x) the daily return of the Nasdaq-100 Index before fees and expenses. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple.",Leverage multiple error,Mislabeled as a 2x leveraged fund; ProShares UltraPro QQQ is a 3x leveraged fund tracking the Nasdaq-100 Index.,High
UPRO,"The fund seeks daily 2x leveraged investment results before fees and expenses, tracking Pro S&P 500. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple.","The fund seeks daily 3x leveraged investment results before fees and expenses, tracking S&P 500. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple.",Leverage multiple error,Mislabeled as a 2x leveraged fund; ProShares UltraPro S&P 500 is a 3x leveraged fund.,High
UMDD,"The fund seeks daily 2x leveraged investment results before fees and expenses, tracking UltraPro MidCap400. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple.","The fund seeks daily 3x leveraged investment results before fees and expenses, tracking MidCap400. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple.",Leverage multiple error,Mislabeled as a 2x leveraged fund; UltraPro MidCap400 is a 3x leveraged fund.,High
UDOW,"The fund seeks daily 2x leveraged investment results before fees and expenses, tracking Pro Dow30. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple.","The fund seeks daily 3x leveraged investment results before fees and expenses, tracking Dow30. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple.",Leverage multiple error,Mislabeled as a 2x leveraged fund; ProShares UltraPro Dow30 is a 3x leveraged fund.,High
URTY,"The fund seeks daily 2x leveraged investment results before fees and expenses, tracking Pro Russell2000. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple.","The fund seeks daily 3x leveraged investment results before fees and expenses, tracking Russell2000. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple.",Leverage multiple error,Mislabeled as a 2x leveraged fund; ProShares UltraPro Russell2000 is a 3x leveraged fund.,High
TTT,"The fund seeks daily 2x inverse (short) investment results before fees and expenses, tracking Pro Short 20 Year Treasury. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple. The underlying portfolio consists of fixed-income debt securities, making market value highly sensitive to interest rates and credit risk.","The fund seeks daily 3x inverse (short) investment results before fees and expenses, tracking Short 20 Year Treasury. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple. The underlying portfolio consists of fixed-income debt securities, making market value highly sensitive to interest rates and credit risk.",Leverage multiple error,Mislabeled as a 2x inverse fund; ProShares UltraPro Short 20 Year Treasury is a 3x inverse fund.,High
SVXY,"The fund seeks daily inverse (short) investment results before fees and expenses, tracking VIX Short Term Futures. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple. Exposure is achieved using volatility futures contracts; the product does not directly track the reported VIX level.","The fund seeks approximately half (-0.5x) the daily inverse return of the S&P 500 VIX Short-Term Futures Index before fees and expenses. Because of the daily objective, compounding will cause longer-term returns to differ from the stated multiple. Exposure is achieved using volatility futures contracts; the product does not directly track the reported VIX level.",Leverage multiple error,"SVXY targeted -1x daily inverse VIX short-term futures exposure until February 2018, when ProShares reduced the target to -0.5x following the volatility spike (""Volmageddon""). The description omitted this reduced multiple.",Medium
